"modification_probability"	"count"	"element"
3.7	3816	"22"
3.7	2098	"21"
3.7	4478	"20"
3.7	11263	"2"
3.7	9593	"19"
3.7	3241	"18"
3.7	9187	"17"
3.7	6910	"16"
3.7	5131	"15"
3.7	4983	"14"
3.7	3746	"13"
3.7	7515	"12"
3.7	8165	"11"
3.7	7279	"10"
3.7	15019	"1"
3.8	403	"Y"
3.8	4152	"X"
3.8	76	"MT"
3.8	6229	"9"
3.8	6131	"8"
3.8	7471	"7"
3.8	7640	"6"
3.8	6951	"5"
3.8	6031	"4"
3.8	7569	"3"
3.8	3372	"22"
3.8	1915	"21"
3.8	4065	"20"
3.8	10216	"2"
3.8	8490	"19"
3.8	2909	"18"
3.8	8286	"17"
3.8	6331	"16"
3.8	4653	"15"
3.8	4653	"14"
3.8	3611	"13"
3.8	6828	"12"
3.8	7483	"11"
3.8	6719	"10"
3.8	13603	"1"
3.9	407	"Y"
3.9	3958	"X"
3.9	107	"MT"
3.9	5608	"9"
3.9	5504	"8"
3.9	6717	"7"
3.9	6944	"6"
3.9	6472	"5"
3.9	5711	"4"
3.9	6730	"3"
3.9	2954	"22"
3.9	1781	"21"
3.9	3623	"20"
3.9	9062	"2"
3.9	7570	"19"
3.9	2645	"18"
3.9	7380	"17"
3.9	5709	"16"
3.9	4130	"15"
3.9	4192	"14"
3.9	3153	"13"
3.9	6189	"12"
3.9	6674	"11"
3.9	5810	"10"
3.9	12096	"1"
4	355	"Y"
4	3575	"X"
4	71	"MT"
4	5062	"9"
4	4941	"8"
4	6063	"7"
4	6058	"6"
4	5653	"5"
4	5136	"4"
4	6120	"3"
4	2701	"22"
4	1474	"21"
4	3310	"20"
4	8177	"2"
4	6682	"19"
4	2430	"18"
4	6510	"17"
4	5057	"16"
4	3595	"15"
4	3748	"14"
4	2881	"13"
4	5366	"12"
4	5880	"11"
4	5153	"10"
4	10571	"1"
4.1	356	"Y"
4.1	3413	"X"
4.1	33	"MT"
4.1	4391	"9"
4.1	4442	"8"
4.1	5287	"7"
4.1	5432	"6"
4.1	5133	"5"
4.1	4601	"4"
4.1	5349	"3"
4.1	2318	"22"
4.1	1445	"21"
4.1	2823	"20"
4.1	7157	"2"
4.1	5953	"19"
4.1	2120	"18"
4.1	5819	"17"
4.1	4636	"16"
4.1	3152	"15"
4.1	3240	"14"
4.1	2534	"13"
4.1	4908	"12"
4.1	5318	"11"
4.1	4666	"10"
4.1	9407	"1"
4.2	352	"Y"
4.2	3192	"X"
4.2	17	"MT"
4.2	3753	"9"
4.2	3924	"8"
4.2	4582	"7"
4.2	4745	"6"
4.2	4636	"5"
4.2	4121	"4"
4.2	4745	"3"
4.2	2004	"22"
4.2	1211	"21"
4.2	2483	"20"
4.2	6374	"2"
4.2	5249	"19"
4.2	1849	"18"
4.2	4979	"17"
4.2	3864	"16"
4.2	2709	"15"
4.2	2903	"14"
4.2	2272	"13"
4.2	4194	"12"
4.2	4566	"11"
4.2	4098	"10"
4.2	8153	"1"
4.3	336	"Y"
4.3	2960	"X"
4.3	8	"MT"
4.3	3331	"9"
4.3	3571	"8"
4.3	4163	"7"
4.3	4218	"6"
4.3	4071	"5"
4.3	3852	"4"
4.3	4285	"3"
4.3	1867	"22"
4.3	1122	"21"
4.3	2280	"20"
4.3	5611	"2"
4.3	4457	"19"
4.3	1778	"18"
4.3	4294	"17"
4.3	3359	"16"
4.3	2492	"15"
4.3	2625	"14"
4.3	2105	"13"
4.3	3726	"12"
4.3	4203	"11"
4.3	3634	"10"
4.3	7314	"1"
4.4	293	"Y"
4.4	2697	"X"
4.4	5	"MT"
4.4	2967	"9"
4.4	3251	"8"
4.4	3785	"7"
4.4	3789	"6"
4.4	3698	"5"
4.4	3585	"4"
4.4	4061	"3"
4.4	1548	"22"
4.4	1045	"21"
4.4	1966	"20"
4.4	5088	"2"
4.4	3794	"19"
4.4	1509	"18"
4.4	3901	"17"
4.4	3036	"16"
4.4	2144	"15"
4.4	2264	"14"
4.4	1877	"13"
4.4	3305	"12"
4.4	3744	"11"
4.4	3315	"10"
4.4	6397	"1"
4.5	303	"Y"
4.5	2605	"X"
4.5	1	"MT"
4.5	2684	"9"
4.5	2938	"8"
4.5	3331	"7"
4.5	3347	"6"
4.5	3344	"5"
4.5	3256	"4"
4.5	3488	"3"
4.5	1445	"22"
4.5	929	"21"
4.5	1734	"20"
4.5	4702	"2"
4.5	3381	"19"
4.5	1481	"18"
4.5	3389	"17"
4.5	2718	"16"
4.5	1924	"15"
4.5	2017	"14"
4.5	1771	"13"
4.5	2937	"12"
4.5	3316	"11"
4.5	3012	"10"
4.5	5515	"1"
4.6	270	"Y"
4.6	2257	"X"
4.6	2266	"9"
4.6	2580	"8"
4.6	2871	"7"
4.6	3021	"6"
4.6	2961	"5"
4.6	2994	"4"
4.6	3066	"3"
4.6	1233	"22"
4.6	897	"21"
4.6	1547	"20"
4.6	4011	"2"
4.6	2648	"19"
4.6	1407	"18"
4.6	2914	"17"
4.6	2294	"16"
4.6	1679	"15"
4.6	1815	"14"
4.6	1673	"13"
4.6	2609	"12"
4.6	2897	"11"
4.6	2745	"10"
4.6	4960	"1"
4.7	311	"Y"
4.7	2516	"X"
4.7	2214	"9"
4.7	2578	"8"
4.7	2779	"7"
4.7	2897	"6"
4.7	2912	"5"
4.7	2819	"4"
4.7	3050	"3"
4.7	1170	"22"
4.7	841	"21"
4.7	1521	"20"
4.7	3946	"2"
4.7	2660	"19"
4.7	1291	"18"
4.7	2705	"17"
4.7	2190	"16"
4.7	1697	"15"
4.7	1717	"14"
4.7	1658	"13"
4.7	2462	"12"
4.7	2801	"11"
4.7	2600	"10"
4.7	4670	"1"
4.8	285	"Y"
4.8	1827	"X"
4.8	1961	"9"
4.8	2322	"8"
4.8	2457	"7"
4.8	2501	"6"
4.8	2586	"5"
4.8	2663	"4"
4.8	2745	"3"
4.8	944	"22"
4.8	693	"21"
4.8	1256	"20"
4.8	3446	"2"
4.8	1821	"19"
4.8	1208	"18"
4.8	2149	"17"
4.8	1733	"16"
4.8	1389	"15"
4.8	1570	"14"
4.8	1488	"13"
4.8	2122	"12"
4.8	2375	"11"
4.8	2400	"10"
4.8	3992	"1"
4.9	298	"Y"
4.9	2263	"X"
4.9	2	"MT"
4.9	1953	"9"
4.9	2328	"8"
4.9	2518	"7"
4.9	2582	"6"
4.9	2599	"5"
4.9	2604	"4"
4.9	2727	"3"
4.9	883	"22"
4.9	710	"21"
4.9	1373	"20"
4.9	3530	"2"
4.9	1935	"19"
4.9	1170	"18"
4.9	2374	"17"
4.9	1789	"16"
4.9	1321	"15"
4.9	1576	"14"
4.9	1476	"13"
4.9	2249	"12"
4.9	2563	"11"
4.9	2247	"10"
4.9	4124	"1"
5	270	"Y"
5	1596	"X"
5	1828	"9"
5	2178	"8"
5	2156	"7"
5	2304	"6"
5	2430	"5"
5	2503	"4"
5	2607	"3"
5	753	"22"
5	633	"21"
5	1135	"20"
5	3352	"2"
5	1261	"19"
5	1219	"18"
5	1886	"17"
5	1524	"16"
5	1309	"15"
5	1301	"14"
5	1419	"13"
5	1948	"12"
5	2247	"11"
5	2121	"10"
5	3511	"1"
5.1	246	"Y"
5.1	1595	"X"
5.1	1736	"9"
5.1	2176	"8"
5.1	2174	"7"
5.1	2406	"6"
5.1	2496	"5"
5.1	2595	"4"
5.1	2538	"3"
5.1	730	"22"
5.1	627	"21"
5.1	1085	"20"
5.1	3238	"2"
5.1	1286	"19"
5.1	1117	"18"
5.1	1747	"17"
5.1	1437	"16"
5.1	1317	"15"
5.1	1343	"14"
5.1	1440	"13"
5.1	1878	"12"
5.1	2151	"11"
5.1	2178	"10"
5.1	3617	"1"
5.2	257	"Y"
5.2	1629	"X"
5.2	1798	"9"
5.2	2102	"8"
5.2	2246	"7"
5.2	2324	"6"
5.2	2553	"5"
5.2	2502	"4"
5.2	2489	"3"
5.2	726	"22"
5.2	671	"21"
5.2	1161	"20"
5.2	3340	"2"
5.2	1254	"19"
5.2	1166	"18"
5.2	1666	"17"
5.2	1511	"16"
5.2	1333	"15"
5.2	1360	"14"
5.2	1435	"13"
5.2	1965	"12"
5.2	2139	"11"
5.2	2179	"10"
5.2	3498	"1"
5.3	265	"Y"
5.3	1730	"X"
5.3	1791	"9"
5.3	2076	"8"
5.3	2332	"7"
5.3	2424	"6"
5.3	2525	"5"
5.3	2601	"4"
5.3	2630	"3"
5.3	730	"22"
5.3	644	"21"
5.3	1128	"20"
5.3	3385	"2"
5.3	1202	"19"
5.3	1174	"18"
5.3	1611	"17"
5.3	1450	"16"
5.3	1354	"15"
5.3	1393	"14"
5.3	1404	"13"
5.3	1921	"12"
5.3	2274	"11"
5.3	2122	"10"
5.3	3738	"1"
5.4	253	"Y"
5.4	1734	"X"
5.4	1784	"9"
5.4	2234	"8"
5.4	2358	"7"
5.4	2505	"6"
5.4	2513	"5"
5.4	2645	"4"
5.4	2763	"3"
5.4	742	"22"
5.4	650	"21"
5.4	1154	"20"
5.4	3342	"2"
5.4	1251	"19"
5.4	1233	"18"
5.4	1651	"17"
5.4	1440	"16"
5.4	1387	"15"
5.4	1430	"14"
5.4	1477	"13"
5.4	1953	"12"
5.4	2192	"11"
5.4	2173	"10"
5.4	3627	"1"
5.5	241	"Y"
5.5	1749	"X"
5.5	1765	"9"
5.5	2040	"8"
5.5	2316	"7"
5.5	2489	"6"
5.5	2562	"5"
5.5	2615	"4"
5.5	2737	"3"
5.5	754	"22"
5.5	614	"21"
5.5	1178	"20"
5.5	3375	"2"
5.5	1303	"19"
5.5	1263	"18"
5.5	1629	"17"
5.5	1541	"16"
5.5	1375	"15"
5.5	1430	"14"
5.5	1480	"13"
5.5	2013	"12"
5.5	2200	"11"
5.5	2208	"10"
5.5	3426	"1"
5.6	227	"Y"
5.6	1728	"X"
5.6	1765	"9"
5.6	2120	"8"
5.6	2239	"7"
5.6	2407	"6"
5.6	2514	"5"
5.6	2656	"4"
5.6	2634	"3"
5.6	723	"22"
5.6	669	"21"
5.6	1049	"20"
5.6	3334	"2"
5.6	1170	"19"
5.6	1192	"18"
5.6	1654	"17"
5.6	1448	"16"
5.6	1322	"15"
5.6	1353	"14"
5.6	1517	"13"
5.6	2021	"12"
5.6	2224	"11"
5.6	2263	"10"
5.6	3514	"1"
5.7	229	"Y"
5.7	1746	"X"
5.7	1661	"9"
5.7	2042	"8"
5.7	2154	"7"
5.7	2385	"6"
5.7	2371	"5"
5.7	2612	"4"
5.7	2556	"3"
5.7	656	"22"
5.7	584	"21"
5.7	1113	"20"
5.7	3239	"2"
5.7	1138	"19"
5.7	1105	"18"
5.7	1593	"17"
5.7	1334	"16"
5.7	1284	"15"
5.7	1307	"14"
5.7	1467	"13"
5.7	2000	"12"
5.7	2100	"11"
5.7	2031	"10"
5.7	3281	"1"
5.8	251	"Y"
5.8	1685	"X"
5.8	1698	"9"
5.8	2018	"8"
5.8	2086	"7"
5.8	2244	"6"
5.8	2258	"5"
5.8	2494	"4"
5.8	2509	"3"
5.8	624	"22"
5.8	618	"21"
5.8	973	"20"
5.8	3051	"2"
5.8	1040	"19"
5.8	1154	"18"
5.8	1462	"17"
5.8	1292	"16"
5.8	1201	"15"
5.8	1243	"14"
5.8	1447	"13"
5.8	1794	"12"
5.8	1980	"11"
5.8	1926	"10"
5.8	3151	"1"
5.9	217	"Y"
5.9	1568	"X"
5.9	1596	"9"
5.9	1889	"8"
5.9	1868	"7"
5.9	2042	"6"
5.9	2112	"5"
5.9	2289	"4"
5.9	2326	"3"
5.9	620	"22"
5.9	556	"21"
5.9	916	"20"
5.9	2823	"2"
5.9	955	"19"
5.9	1065	"18"
5.9	1247	"17"
5.9	1170	"16"
5.9	1124	"15"
5.9	1153	"14"
5.9	1261	"13"
5.9	1631	"12"
5.9	1847	"11"
5.9	1751	"10"
5.9	3002	"1"
6	213	"Y"
6	1489	"X"
6	1419	"9"
6	1726	"8"
6	1803	"7"
6	1957	"6"
6	1984	"5"
6	2201	"4"
6	2176	"3"
6	516	"22"
6	484	"21"
6	894	"20"
6	2722	"2"
6	813	"19"
6	980	"18"
6	1242	"17"
6	1049	"16"
6	1053	"15"
6	1048	"14"
6	1176	"13"
6	1626	"12"
6	1680	"11"
6	1703	"10"
6	2772	"1"
6.1	207	"Y"
6.1	1391	"X"
6.1	1389	"9"
6.1	1632	"8"
6.1	1687	"7"
6.1	1833	"6"
6.1	1987	"5"
6.1	2058	"4"
6.1	1927	"3"
6.1	442	"22"
6.1	491	"21"
6.1	862	"20"
6.1	2499	"2"
6.1	777	"19"
6.1	928	"18"
6.1	1065	"17"
6.1	960	"16"
6.1	1014	"15"
6.1	985	"14"
6.1	1084	"13"
6.1	1460	"12"
6.1	1528	"11"
6.1	1608	"10"
6.1	2510	"1"
6.2	202	"Y"
6.2	1322	"X"
6.2	1218	"9"
6.2	1509	"8"
6.2	1606	"7"
6.2	1690	"6"
6.2	1825	"5"
6.2	1913	"4"
6.2	1867	"3"
6.2	441	"22"
6.2	427	"21"
6.2	740	"20"
6.2	2442	"2"
6.2	735	"19"
6.2	848	"18"
6.2	974	"17"
6.2	980	"16"
6.2	857	"15"
6.2	978	"14"
6.2	1032	"13"
6.2	1362	"12"
6.2	1446	"11"
6.2	1506	"10"
6.2	2477	"1"
6.3	214	"Y"
6.3	1287	"X"
6.3	1149	"9"
6.3	1510	"8"
6.3	1515	"7"
6.3	1554	"6"
6.3	1723	"5"
6.3	1858	"4"
6.3	1832	"3"
6.3	444	"22"
6.3	422	"21"
6.3	706	"20"
